symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,793.8,794.9,773.7,775.4,27027860,2022-04-06
HDFCBANK,NSE_EQ|INE040A01034,770.6,770.7,756.8,758.4,40781732,2022-04-07
HDFCBANK,NSE_EQ|INE040A01034,756.0,762.9,748.6,757.3,41256322,2022-04-08
HDFCBANK,NSE_EQ|INE040A01034,753.0,755.0,746.6,748.1,20799066,2022-04-11
HDFCBANK,NSE_EQ|INE040A01034,742.0,753.4,740.1,746.8,27435402,2022-04-12
HDFCBANK,NSE_EQ|INE040A01034,745.0,751.2,731.3,732.5,28892520,2022-04-13
HDFCBANK,NSE_EQ|INE040A01034,709.4,715.8,695.0,697.7,45620376,2022-04-18
HDFCBANK,NSE_EQ|INE040A01034,690.4,694.8,663.5,671.1,74096022,2022-04-19
HDFCBANK,NSE_EQ|INE040A01034,677.2,680.0,667.7,677.2,49325736,2022-04-20
HDFCBANK,NSE_EQ|INE040A01034,682.5,689.9,676.6,687.2,52446270,2022-04-21
HDFCBANK,NSE_EQ|INE040A01034,680.0,687.7,674.6,677.8,20659148,2022-04-22
HDFCBANK,NSE_EQ|INE040A01034,675.0,685.3,661.1,682.9,20935488,2022-04-25
HDFCBANK,NSE_EQ|INE040A01034,686.0,691.0,678.6,686.0,17016842,2022-04-26
HDFCBANK,NSE_EQ|INE040A01034,680.0,689.5,678.0,686.3,18054334,2022-04-27
HDFCBANK,NSE_EQ|INE040A01034,686.0,689.5,681.0,685.7,20773722,2022-04-28
HDFCBANK,NSE_EQ|INE040A01034,690.2,702.4,685.8,692.3,28401476,2022-04-29
HDFCBANK,NSE_EQ|INE040A01034,681.0,703.2,681.0,701.8,19494316,2022-05-02
HDFCBANK,NSE_EQ|INE040A01034,700.0,701.8,675.0,678.0,29055916,2022-05-04
HDFCBANK,NSE_EQ|INE040A01034,687.5,687.5,673.2,676.5,17862912,2022-05-05
HDFCBANK,NSE_EQ|INE040A01034,665.0,667.5,656.5,658.8,26731268,2022-05-06
HDFCBANK,NSE_EQ|INE040A01034,650.0,663.2,647.8,659.9,32762434,2022-05-09
HDFCBANK,NSE_EQ|INE040A01034,657.5,676.5,657.5,670.5,20113812,2022-05-10
HDFCBANK,NSE_EQ|INE040A01034,676.5,677.5,664.3,674.3,17102924,2022-05-11
HDFCBANK,NSE_EQ|INE040A01034,660.6,663.4,646.5,651.5,22382290,2022-05-12
HDFCBANK,NSE_EQ|INE040A01034,655.0,659.0,643.5,645.7,16768238,2022-05-13
HDFCBANK,NSE_EQ|INE040A01034,649.5,656.0,642.6,652.6,9804356,2022-05-16
